testClassName,testMethodName,potentialTargetQualifiedName,AAA
StringTest,testStringWithEscapedSlashDeserialization,"com.google.gson.Gson.fromJson(String, Class<String>)",1
StringTest,testStringWithEscapedSlashDeserialization,ASSERT com.google.common.truth.Truth.assertThat(String),2
StringTest,testStringWithEscapedSlashDeserialization,ASSERT com.google.common.truth.Subject.isEqualTo(Object),2
