projectName,name,pathFile,productionFile,junitVersion,loc,qtdMethods,testSmellName,testSmellMethod,testSmellLineBegin,testSmellLineEnd
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection9,390 - 400,390 - 400
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection10,405 - 414,405 - 414
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection11,419 - 429,419 - 429
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection12,434 - 443,434 - 443
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection13,448 - 458,448 - 458
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection14,463 - 473,463 - 473
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection15,478 - 488,478 - 488
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection16,493 - 503,493 - 503
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection17,508 - 517,508 - 517
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection18,522 - 532,522 - 532
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection19,537 - 546,537 - 546
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection20,551 - 561,551 - 561
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection21,566 - 576,566 - 576
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection22,581 - 591,581 - 591
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection23,596 - 605,596 - 605
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection24,610 - 620,610 - 620
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection25,625 - 635,625 - 635
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection26,640 - 650,640 - 650
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection27,655 - 665,655 - 665
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection28,670 - 679,670 - 679
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection29,684 - 694,684 - 694
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection30,699 - 709,699 - 709
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection31,714 - 724,714 - 724
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection32,729 - 739,729 - 739
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection33,744 - 754,744 - 754
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection34,759 - 769,759 - 769
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection35,774 - 784,774 - 784
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection36,789 - 799,789 - 799
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection37,804 - 814,804 - 814
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection38,819 - 829,819 - 829
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection39,834 - 844,834 - 844
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection40,849 - 859,849 - 859
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection41,864 - 874,864 - 874
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection42,879 - 889,879 - 889
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testGeometryCollection43,894 - 904,894 - 904
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testCircularString,909 - 919,909 - 919
