testClassName,testMethodName,potentialTargetQualifiedName,AAA
URLConfigReaderTest,testStringConstructorMalformedUrl,"ASSERT org.junit.jupiter.api.Assertions.assertThrows(Class<RuntimeException>, Executable)",2
URLConfigReaderTest,testStringConstructorMalformedUrl,NEW com.netflix.archaius.readers.URLConfigReader(String[]),1
