projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;Assertion Roulette;testGetSnapshotUuid;184-184;184-184
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;Assertion Roulette;testGetSnapshotName;190-190;190-190
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;Assertion Roulette;testGetVolumePath;197-197;197-197
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;Assertion Roulette;testGetVolumePath;201-201;201-201
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;Assertion Roulette;testExecuteInSequence;207-207;207-207
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;Assertion Roulette;testExecuteInSequence;210-210;210-210
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;Assertion Roulette;testGetDataCenterId;217-217;217-217
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;Assertion Roulette;testGetAccountId;224-224;224-224
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;Assertion Roulette;testGetVolumeId;231-231;231-231
cloudstack;SnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/SnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/SnapshotCommand.java;JUnit4;233;12;General Fixture;setUp;172;172
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Magic Number Test;testGetCreated;210;210
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Duplicate Assert;testExecuteInSequence;265, 268;265, 268
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Eager Test;testGetSwift;219, 220;219, 220
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Assertion Roulette;testGetSecondaryStorageUrl;174-174;174-174
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Assertion Roulette;testGetDataCenterId;181-181;181-181
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Assertion Roulette;testGetAccountId;188-188;188-188
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Assertion Roulette;testGetVolumeId;195-195;195-195
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Assertion Roulette;testGetSnapshotId;202-202;202-202
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Assertion Roulette;testGetCreated;210-210;210-210
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Assertion Roulette;testGetSwift;221-221;221-221
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Assertion Roulette;testGetSnapshotName;227-227;227-227
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Assertion Roulette;testGetSnapshotUuid;233-233;233-233
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Assertion Roulette;testGetPrevSnapshotUuid;239-239;239-239
cloudstack;BackupSnapshotCommandTest;/Users/chenhao/.jnose_projects/cloudstack/core/src/test/java/org/apache/cloudstack/api/agent/test/BackupSnapshotCommandTest.java;/Users/chenhao/.jnose_projects/cloudstack/core/src/main/java/com/cloud/agent/api/BackupSnapshotCommand.java;JUnit4;271;16;Assertion Roulette;testGetPrevBackupUuid;245-245;245-245
