testPackage,testClassName,testMethodName,potentialTargetQualifiedName,AAA
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.Mockito.mock(Class<VirtualMachineProfile>),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.Mockito.mock(Class<NicVO>),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.Mockito.mock(Class<NetworkVO>),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,GET com.cloud.vm.VirtualMachineProfile.getType(),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.Mockito.when(Type),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.stubbing.OngoingStubbing<com.cloud.vm.VirtualMachine.Type>.thenReturn(Type),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,GET com.cloud.network.dao.NetworkVO.getGuruName(),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.Mockito.when(String),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.stubbing.OngoingStubbing<java.lang.String>.thenReturn(String),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,GET com.cloud.vm.NicVO.getNetworkId(),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,com.cloud.utils.db.GenericDao.findById(Long),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.Mockito.when(NetworkVO),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.stubbing.OngoingStubbing<com.cloud.network.dao.NetworkVO>.thenReturn(NetworkVO),0
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,"org.apache.cloudstack.engine.orchestration.NetworkOrchestrator.removeNic(VirtualMachineProfile, NicVO)",1
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.Mockito.times(int),2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,"ASSERT org.mockito.Mockito.verify(NicVO, VerificationMode)",2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,SET com.cloud.vm.NicVO.setState(State),2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.Mockito.never(),2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,"ASSERT org.mockito.Mockito.verify(NetworkModel, VerificationMode)",2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,com.cloud.network.NetworkModel.getElementImplementingProvider(String),2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.Mockito.never(),2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,"ASSERT org.mockito.Mockito.verify(NetworkServiceMapDao, VerificationMode)",2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,GET com.cloud.network.dao.NetworkVO.getId(),2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,"com.cloud.network.dao.NetworkServiceMapDao.getProviderForServiceInNetwork(long, Service)",2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,MOCK org.mockito.Mockito.times(int),2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,"ASSERT org.mockito.Mockito.verify(NetworkDao, VerificationMode)",2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,GET com.cloud.vm.NicVO.getNetworkId(),2
org.apache.cloudstack.engine.orchestration,NetworkOrchestratorTest,testDontRemoveDhcpServiceFromDomainRouter,com.cloud.utils.db.GenericDao.findById(Long),2
