testPackage,testClassName,testMethodName,potentialTargetQualifiedName,AAA
org.cloud.network.router.deployment,RouterDeploymentDefinitionTest,testUnlock,org.cloud.network.router.deployment.RouterDeploymentDefinition.unlock(),1
org.cloud.network.router.deployment,RouterDeploymentDefinitionTest,testUnlock,MOCK org.mockito.Mockito.times(int),2
org.cloud.network.router.deployment,RouterDeploymentDefinitionTest,testUnlock,"ASSERT org.mockito.Mockito.verify(NetworkDao, VerificationMode)",2
org.cloud.network.router.deployment,RouterDeploymentDefinitionTest,testUnlock,com.cloud.utils.db.GenericDao.releaseFromLockTable(Long),2
